customer_id,months_as_customer,age,policy_state,policy_deductable,policy_annual_premium,insured_sex,capital-gains,capitalloss,incident_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_model
10012,447,61,OH,2000,1137.16,FEMALE,0,51000,Multi-vehicle Collision,Major Damage,Fire,21,3,YES,1,2,YES,114920,17680,17680,79560,A3
10013,60,23,OH,500,1215.36,MALE,0,0,Single Vehicle Collision,Total Loss,Ambulance,9,1,YES,1,0,NO,56520,4710,9420,42390,95
10014,121,34,OH,1000,936.61,FEMALE,52800,32800,Parked Car,Minor Damage,None,5,1,NO,1,1,NO,7280,1120,1120,5040,Highlander
10015,180,38,OH,2000,1301.13,FEMALE,41300,55500,Single Vehicle Collision,Total Loss,Police,12,1,NO,0,2,YES,46200,4200,8400,33600,Neon
10016,473,58,IN,2000,1131.4,FEMALE,55700,0,Multi-vehicle Collision,Major Damage,Other,12,4,YES,0,0,NO,63120,10520,10520,42080,MDX
10017,70,26,OH,1000,1199.44,MALE,63600,0,Multi-vehicle Collision,Major Damage,Other,0,3,?,1,2,YES,52110,5790,5790,40530,Maxima
10018,140,31,IN,500,708.64,MALE,53500,0,Single Vehicle Collision,Total Loss,Police,9,1,NO,0,2,YES,77880,14160,7080,56640,Legacy
10019,160,37,OH,500,1374.22,FEMALE,45500,37800,Single Vehicle Collision,Total Loss,Other,19,1,YES,1,0,NO,72930,6630,13260,53040,TL
10020,196,39,IN,2000,1475.73,FEMALE,57000,27300,Multi-vehicle Collision,Major Damage,Police,8,3,?,2,0,NO,60400,6040,6040,48320,Pathfinder
10021,460,62,IN,1000,1187.96,MALE,0,0,Multi-vehicle Collision,Minor Damage,Police,20,3,NO,1,0,?,47160,0,5240,41920,Impreza
10022,217,41,IL,2000,875.15,FEMALE,46700,0,Multi-vehicle Collision,Total Loss,Police,15,3,?,1,2,?,37840,0,4730,33110,RSX
10023,370,55,IL,2000,972.18,MALE,72700,68200,Multi-vehicle Collision,Major Damage,Ambulance,20,3,NO,0,0,YES,71520,17880,5960,47680,Forrestor
10024,413,55,IN,2000,1268.79,MALE,0,31000,Single Vehicle Collision,Total Loss,Ambulance,15,1,?,2,2,?,98160,8180,16360,73620,RAM
10025,237,40,IN,1000,883.31,MALE,0,53500,Single Vehicle Collision,Minor Damage,Other,6,1,NO,1,3,NO,77880,7080,14160,56640,Escape
10026,8,35,OH,2000,1266.92,MALE,0,0,Multi-vehicle Collision,Major Damage,Other,16,3,NO,1,3,YES,71500,16500,11000,44000,Escape
10027,257,43,IN,2000,1322.1,MALE,0,29200,Parked Car,Minor Damage,Police,4,1,YES,1,3,YES,9020,1640,820,6560,Camry
10028,202,34,IN,500,848.07,MALE,31000,30200,Vehicle Theft,Minor Damage,None,5,1,YES,2,1,?,5720,1040,520,4160,Forrestor
10029,224,40,OH,2000,1291.7,FEMALE,0,55600,Single Vehicle Collision,Minor Damage,Other,21,1,NO,1,0,YES,69840,7760,15520,46560,Neon
10030,241,45,IL,2000,1104.5,FEMALE,0,0,Single Vehicle Collision,Minor Damage,Police,5,1,NO,2,2,NO,91650,14100,14100,63450,TL
10031,64,25,IL,1000,954.16,MALE,53200,0,Multi-vehicle Collision,Major Damage,Ambulance,22,4,NO,0,0,?,75600,12600,12600,50400,Corolla
10032,166,37,IL,2000,1337.28,MALE,27500,0,Multi-vehicle Collision,Major Damage,Police,10,3,NO,2,2,?,67140,7460,7460,52220,F150
10033,155,35,IL,1000,1088.34,FEMALE,81100,0,Multi-vehicle Collision,Total Loss,Police,16,3,YES,2,3,NO,29790,3310,3310,23170,3 Series
10034,114,30,IL,1000,1558.29,MALE,51400,64000,Multi-vehicle Collision,Major Damage,Ambulance,1,3,NO,1,2,?,77110,14020,14020,49070,Impreza
10035,149,37,IL,500,1415.68,MALE,0,0,Single Vehicle Collision,Total Loss,Fire,17,1,YES,0,1,YES,64800,10800,5400,48600,A3
10036,147,33,OH,1000,1334.15,MALE,53300,49200,Single Vehicle Collision,Major Damage,Other,15,1,YES,2,0,YES,53100,10620,5310,37170,C300
10037,62,28,IL,1000,988.45,FEMALE,0,0,Single Vehicle Collision,Total Loss,Police,3,1,?,1,1,YES,60200,6020,6020,48160,Forrestor
10038,289,49,IL,2000,1222.48,FEMALE,0,0,Parked Car,Minor Damage,None,16,1,NO,1,1,YES,5330,1230,820,3280,Legacy
10039,431,54,IN,2000,1155.55,FEMALE,65700,0,Multi-vehicle Collision,Major Damage,Police,4,3,?,2,0,?,62300,12460,6230,43610,Wrangler
10040,199,37,IN,500,1262.08,MALE,48500,0,Single Vehicle Collision,Major Damage,Ambulance,4,1,?,0,3,NO,60170,10940,10940,38290,Pathfinder
10041,79,26,IL,500,1451.62,MALE,0,55700,Single Vehicle Collision,Minor Damage,Ambulance,19,1,NO,2,2,?,40000,8000,4000,28000,M5
10042,116,34,IN,500,1737.66,MALE,0,24100,Single Vehicle Collision,Major Damage,Police,1,1,?,1,1,?,97080,16180,16180,64720,X5
10043,37,23,IL,500,1475.93,FEMALE,0,67400,Multi-vehicle Collision,Minor Damage,Other,17,3,YES,1,0,NO,51660,5740,5740,40180,RAM
10044,106,30,OH,500,538.17,FEMALE,49700,60200,Single Vehicle Collision,Total Loss,Other,23,1,NO,2,2,NO,51120,5680,5680,39760,E400
10045,269,44,IL,2000,1081.08,MALE,36400,28700,Single Vehicle Collision,Minor Damage,Other,14,1,YES,0,2,?,56400,11280,11280,33840,Highlander
10046,265,40,IL,1000,1454.43,FEMALE,0,0,Multi-vehicle Collision,Total Loss,Other,17,3,NO,2,3,?,55120,6890,0,48230,MDX
10047,163,33,IN,500,1240.47,FEMALE,35300,0,Multi-vehicle Collision,Total Loss,Fire,11,3,YES,1,1,?,77110,0,14020,63090,Civic
10048,355,47,OH,2000,1273.7,MALE,0,0,Multi-vehicle Collision,Major Damage,Fire,19,3,NO,2,1,NO,62800,6280,6280,50240,A3
10049,175,34,IN,1000,1123.87,FEMALE,0,0,Vehicle Theft,Trivial Damage,Police,5,1,?,2,0,YES,7290,810,810,5670,Passat
10050,192,35,IL,1000,1245.89,FEMALE,0,40300,Single Vehicle Collision,Total Loss,Other,19,1,NO,0,0,?,76600,15320,7660,53620,C300
10051,430,59,OH,2000,1326.62,MALE,0,0,Multi-vehicle Collision,Minor Damage,Fire,19,3,?,0,3,YES,81800,16360,8180,57260,Pathfinder
10052,91,27,IL,2000,1073.83,FEMALE,0,0,Vehicle Theft,Trivial Damage,None,4,1,?,1,2,?,7260,1320,660,5280,M5
10053,217,39,IN,1000,1530.52,MALE,0,0,Vehicle Theft,Minor Damage,None,8,1,?,2,1,YES,4300,430,430,3440,Corolla
10054,223,40,IN,500,1201.41,FEMALE,88400,46500,Multi-vehicle Collision,Major Damage,Police,7,3,YES,1,0,?,70510,12820,12820,44870,Forrestor
10055,195,39,OH,1000,1393.57,MALE,47600,39600,Parked Car,Minor Damage,Police,5,1,NO,0,1,YES,2640,480,480,1680,F150
10056,22,26,OH,1000,1276.57,MALE,71500,0,Single Vehicle Collision,Minor Damage,Fire,3,1,YES,1,2,NO,78900,15780,7890,55230,Silverado
10057,439,56,IN,500,1082.49,FEMALE,36100,55000,Multi-vehicle Collision,Major Damage,Fire,12,3,?,2,3,?,56430,0,6270,50160,CRV
10058,94,32,IN,1000,1414.74,FEMALE,0,0,Parked Car,Minor Damage,None,19,1,NO,1,3,NO,2400,300,300,1800,Silverado
10059,11,39,IL,2000,1470.06,MALE,56600,45800,Single Vehicle Collision,Total Loss,Ambulance,22,1,YES,0,1,NO,65790,7310,7310,51170,93
10060,151,36,OH,2000,870.63,FEMALE,94800,58500,Multi-vehicle Collision,Minor Damage,Police,12,3,NO,1,1,NO,62920,11440,5720,45760,Escape
10061,154,34,IN,500,795.23,MALE,36900,0,Multi-vehicle Collision,Major Damage,Police,15,3,YES,2,1,?,69480,15440,0,54040,Maxima
10062,245,44,IL,1000,1168.2,MALE,69100,0,Multi-vehicle Collision,Total Loss,Other,23,3,NO,0,3,NO,44280,7380,3690,33210,Accord
10063,119,32,IL,1000,993.51,MALE,0,49500,Single Vehicle Collision,Minor Damage,Other,12,1,NO,0,3,YES,56300,5630,11260,39410,M5
10064,215,42,OH,500,1848.81,MALE,0,49000,Multi-vehicle Collision,Major Damage,Fire,20,3,YES,2,2,YES,68520,11420,5710,51390,Legacy
10065,295,42,OH,2000,1641.73,MALE,62400,0,Multi-vehicle Collision,Total Loss,Fire,16,3,NO,0,0,NO,59130,6570,6570,45990,Escape
10066,254,39,IN,500,1362.87,FEMALE,35700,0,Multi-vehicle Collision,Minor Damage,Ambulance,6,3,YES,2,2,NO,82320,13720,6860,61740,Neon
10067,107,31,IN,500,1239.22,FEMALE,43400,91200,Single Vehicle Collision,Minor Damage,Fire,12,1,YES,0,1,NO,89700,13800,13800,62100,A5
10068,478,64,OH,500,835.02,FEMALE,59600,0,Multi-vehicle Collision,Minor Damage,Fire,17,3,NO,1,1,NO,33930,0,3770,30160,X6
10069,128,30,OH,1000,1061.33,MALE,43300,66200,Single Vehicle Collision,Major Damage,Ambulance,8,1,NO,0,3,NO,68530,12460,6230,49840,A5
10070,338,49,IN,1000,1279.08,MALE,0,51500,Parked Car,Minor Damage,None,13,1,NO,0,1,?,4300,860,860,2580,F150
10071,271,42,OH,500,1105.49,FEMALE,56200,50000,Multi-vehicle Collision,Major Damage,Other,12,2,?,2,3,?,68310,12420,6210,49680,A3
10072,222,41,OH,2000,1055.53,FEMALE,37800,50300,Single Vehicle Collision,Total Loss,Other,7,1,NO,0,2,NO,61290,6810,6810,47670,Civic
10073,199,41,OH,1000,895.83,FEMALE,0,0,Single Vehicle Collision,Minor Damage,Ambulance,10,1,NO,1,2,NO,30100,3010,0,27090,Malibu
10074,215,37,IN,500,1632.93,FEMALE,0,42900,Multi-vehicle Collision,Minor Damage,Fire,7,3,NO,2,0,YES,57120,9520,4760,42840,C300
10075,192,40,IL,1000,1405.99,FEMALE,0,0,Multi-vehicle Collision,Minor Damage,Ambulance,18,3,YES,1,0,YES,42930,9540,4770,28620,X6
10076,120,35,OH,1000,1425.54,FEMALE,78300,0,Multi-vehicle Collision,Total Loss,Ambulance,22,3,NO,2,0,NO,51210,11380,5690,34140,Fusion
10077,270,45,OH,1000,1038.09,FEMALE,0,19700,Multi-vehicle Collision,Minor Damage,Fire,18,3,NO,1,1,YES,89400,14900,7450,67050,Legacy
10078,319,47,IN,500,1307.11,MALE,0,0,Multi-vehicle Collision,Total Loss,Police,22,3,NO,0,2,?,59730,10860,10860,38010,A3
10079,194,39,OH,1000,1489.24,FEMALE,0,45000,Vehicle Theft,Minor Damage,None,15,1,YES,2,2,YES,8060,1240,1240,5580,95
10080,227,38,OH,500,976.67,FEMALE,0,0,Single Vehicle Collision,Major Damage,Fire,16,1,?,1,2,?,72200,14440,7220,50540,M5
10081,137,31,OH,2000,1340.43,MALE,52700,40600,Multi-vehicle Collision,Minor Damage,Ambulance,6,3,NO,1,2,NO,50800,10160,10160,30480,MDX
10082,244,40,OH,2000,1267.81,FEMALE,0,0,Vehicle Theft,Trivial Damage,None,10,1,?,2,1,?,6600,660,1320,4620,TL
10083,78,29,IL,1000,1234.2,MALE,0,0,Vehicle Theft,Minor Damage,Police,3,1,YES,2,2,NO,7500,750,1500,5250,Maxima
10084,200,35,IN,2000,1318.06,MALE,57300,80600,Vehicle Theft,Trivial Damage,None,13,1,NO,0,3,YES,6490,1180,1180,4130,Jetta
10085,284,48,IN,2000,769.95,MALE,0,44200,Multi-vehicle Collision,Major Damage,Ambulance,16,2,?,2,3,NO,60940,5540,11080,44320,A3
10086,275,41,OH,2000,1514.72,MALE,35700,0,Multi-vehicle Collision,Major Damage,Fire,13,3,YES,0,1,?,58300,5830,11660,40810,Legacy
10087,153,34,IL,1000,873.64,FEMALE,800,0,Multi-vehicle Collision,Minor Damage,Other,9,3,NO,2,1,?,68400,11400,11400,45600,F150
10088,134,32,IL,500,1612.43,FEMALE,36400,0,Single Vehicle Collision,Total Loss,Fire,2,1,?,2,1,YES,64240,11680,11680,40880,3 Series
10089,31,36,IL,2000,1318.24,FEMALE,0,78600,Parked Car,Trivial Damage,None,9,1,NO,0,1,YES,4700,940,470,3290,Neon
10090,41,25,IN,1000,1226.83,FEMALE,0,56100,Multi-vehicle Collision,Major Damage,Other,12,3,YES,2,0,?,45120,0,5640,39480,MDX
10091,127,29,OH,2000,1326.44,FEMALE,0,0,Multi-vehicle Collision,Total Loss,Fire,12,2,YES,1,1,?,66950,10300,10300,46350,93
10092,61,23,IL,2000,1136.83,FEMALE,0,62400,Single Vehicle Collision,Major Damage,Police,14,1,NO,0,3,?,98340,8940,17880,71520,Accord
10093,207,42,IL,2000,1322.78,MALE,55200,0,Parked Car,Trivial Damage,None,9,1,NO,0,1,NO,5900,590,590,4720,X5
10094,219,43,IN,1000,1483.25,FEMALE,90700,20800,Multi-vehicle Collision,Major Damage,Ambulance,3,3,NO,1,1,?,70680,5890,11780,53010,Fusion
10095,271,42,IL,500,1515.3,FEMALE,0,0,Multi-vehicle Collision,Total Loss,Ambulance,21,3,NO,1,0,NO,93720,17040,8520,68160,ML350
10096,80,25,IL,2000,1075.18,FEMALE,67700,58400,Vehicle Theft,Minor Damage,None,5,1,NO,2,0,YES,6930,1260,630,5040,Highlander
10097,325,47,IN,1000,1690.27,FEMALE,61500,0,Single Vehicle Collision,Major Damage,Fire,11,1,YES,0,3,NO,72930,6630,6630,59670,RAM
10098,29,25,IL,2000,1352.83,MALE,0,71700,Multi-vehicle Collision,Minor Damage,Other,4,4,YES,1,2,YES,64890,7210,7210,50470,Pathfinder
10099,295,48,OH,1000,1148.73,FEMALE,0,0,Parked Car,Trivial Damage,None,6,1,?,1,2,YES,5400,900,900,3600,95
10100,239,42,IL,1000,969.5,MALE,0,0,Vehicle Theft,Trivial Damage,None,10,1,NO,0,0,?,5600,700,700,4200,A3
10101,269,41,IN,500,1463.82,FEMALE,0,72300,Single Vehicle Collision,Minor Damage,Police,23,1,YES,0,0,?,79300,15860,15860,47580,92x
10102,80,27,IL,1000,1474.17,FEMALE,0,0,Single Vehicle Collision,Major Damage,Police,13,1,YES,1,0,YES,52800,10560,5280,36960,95
10103,279,41,IL,500,1497.35,FEMALE,37300,31700,Multi-vehicle Collision,Minor Damage,Fire,16,3,?,2,3,NO,28800,0,3600,25200,Fusion
10104,165,33,OH,1000,1427.14,FEMALE,35300,58100,Parked Car,Minor Damage,Police,3,1,NO,1,1,NO,2970,330,330,2310,Highlander
10105,350,54,OH,500,1495.1,MALE,50500,0,Multi-vehicle Collision,Total Loss,Police,15,3,NO,0,0,?,93480,15580,7790,70110,Malibu
10106,295,49,IL,500,1141.62,MALE,34300,24300,Vehicle Theft,Minor Damage,None,4,1,YES,1,3,YES,4320,480,480,3360,E400
10107,464,61,OH,1000,1125.37,FEMALE,0,56400,Multi-vehicle Collision,Major Damage,Police,6,3,?,0,2,YES,79800,6650,19950,53200,95
10108,118,28,IN,2000,1207.36,FEMALE,0,57000,Multi-vehicle Collision,Major Damage,Ambulance,22,2,NO,1,0,?,74200,7420,14840,51940,Passat
10109,298,47,IL,2000,1338.5,FEMALE,28800,0,Single Vehicle Collision,Major Damage,Fire,1,1,?,0,0,?,70590,10860,10860,48870,93
10110,87,31,IN,1000,1074.07,FEMALE,0,47500,Multi-vehicle Collision,Major Damage,Fire,16,3,NO,0,3,YES,60940,5540,11080,44320,Ultima
10111,261,42,OH,500,1337.56,FEMALE,0,0,Single Vehicle Collision,Minor Damage,Police,18,1,?,1,2,YES,74700,7470,14940,52290,RAM
10112,453,60,IN,500,1298.91,MALE,52600,38800,Single Vehicle Collision,Major Damage,Fire,0,1,YES,0,0,?,70000,14000,7000,49000,F150
10113,210,41,IL,500,1222.75,MALE,0,41000,Multi-vehicle Collision,Total Loss,Other,12,3,?,2,0,NO,81070,14740,14740,51590,X5
10114,168,32,IN,1000,1059.52,MALE,0,40600,Multi-vehicle Collision,Major Damage,Other,13,2,?,1,1,?,57720,14430,9620,33670,93
10115,390,51,OH,2000,1124.38,MALE,0,0,Vehicle Theft,Minor Damage,None,9,1,YES,1,1,YES,7080,1180,1180,4720,F150
10116,258,46,IN,1000,1110.37,MALE,34400,56800,Multi-vehicle Collision,Total Loss,Other,14,3,NO,0,1,?,47700,4770,9540,33390,MDX
10117,107,31,IL,2000,1374.22,FEMALE,62000,63100,Single Vehicle Collision,Minor Damage,Police,16,1,NO,0,3,NO,51260,9320,9320,32620,Legacy
10118,225,41,OH,2000,1103.58,MALE,41200,36200,Multi-vehicle Collision,Major Damage,Police,20,3,?,2,2,NO,70400,6400,12800,51200,Highlander
10119,164,38,IL,2000,1269.76,FEMALE,44300,0,Single Vehicle Collision,Minor Damage,Fire,4,1,NO,1,3,YES,90000,18000,9000,63000,Fusion
10120,245,39,OH,500,964.79,FEMALE,58000,0,Multi-vehicle Collision,Minor Damage,Police,7,3,?,0,1,?,72820,13240,6620,52960,3 Series
10121,255,41,IL,2000,1167.3,MALE,0,0,Single Vehicle Collision,Minor Damage,Fire,22,1,NO,2,0,?,69300,13860,13860,41580,Passat
10122,206,36,IL,500,1625.45,FEMALE,0,53700,Single Vehicle Collision,Major Damage,Ambulance,11,1,NO,2,1,NO,76560,12760,12760,51040,Fusion
10123,203,38,IL,500,1394.43,FEMALE,0,0,Single Vehicle Collision,Major Damage,Ambulance,7,1,?,0,1,YES,55440,0,6160,49280,Maxima
10124,22,25,OH,2000,1053.24,FEMALE,51100,0,Multi-vehicle Collision,Total Loss,Other,0,4,YES,1,0,NO,77130,8570,17140,51420,MDX
10125,211,35,IL,500,1040.75,FEMALE,0,0,Single Vehicle Collision,Total Loss,Ambulance,1,1,YES,1,1,?,42000,7000,7000,28000,X5
10126,206,39,IN,1000,1302.4,MALE,47200,69700,Multi-vehicle Collision,Total Loss,Ambulance,12,3,NO,2,3,YES,36300,3300,9900,23100,Escape
10127,166,38,IL,2000,1588.55,MALE,59600,32100,Single Vehicle Collision,Total Loss,Other,8,1,NO,0,0,?,40320,5760,5760,28800,Impreza
10128,165,32,IN,500,1399.26,FEMALE,70500,0,Parked Car,Minor Damage,Police,9,1,?,2,0,?,3960,330,660,2970,M5
10129,274,43,OH,2000,1352.31,MALE,40700,47300,Single Vehicle Collision,Major Damage,Fire,22,1,YES,0,3,YES,63840,10640,10640,42560,X5
10130,81,28,IL,1000,1139,FEMALE,42400,0,Multi-vehicle Collision,Major Damage,Fire,0,3,?,1,2,?,44730,4970,4970,34790,92x
10131,280,45,IN,1000,1397.67,MALE,57900,0,Multi-vehicle Collision,Minor Damage,Other,0,3,YES,1,2,NO,84720,14120,14120,56480,Escape
10132,194,39,IN,500,823.17,MALE,0,0,Multi-vehicle Collision,Major Damage,Other,3,3,?,2,2,NO,61500,6150,12300,43050,RAM
10133,112,27,OH,500,965.13,FEMALE,60000,54800,Multi-vehicle Collision,Major Damage,Ambulance,21,3,?,0,1,?,51000,8500,8500,34000,Pathfinder
10134,24,33,IL,1000,1922.84,FEMALE,0,45200,Single Vehicle Collision,Total Loss,Police,0,1,?,2,1,NO,46800,4680,9360,32760,Wrangler
10135,93,32,OH,2000,1624.82,MALE,65300,65600,Single Vehicle Collision,Minor Damage,Ambulance,16,1,?,1,1,?,78120,17360,8680,52080,3 Series
10136,171,34,IN,2000,1277.25,FEMALE,84900,0,Single Vehicle Collision,Major Damage,Police,14,1,NO,1,2,?,69200,13840,6920,48440,Passat
10137,200,40,IL,1000,1439.34,FEMALE,45300,20400,Vehicle Theft,Minor Damage,Police,9,1,?,0,0,NO,3690,410,410,2870,Escape
10138,120,28,IL,1000,1281.27,FEMALE,68900,0,Multi-vehicle Collision,Minor Damage,Fire,9,3,NO,0,3,?,65500,6550,6550,52400,X5
10139,325,46,IL,500,1348.83,FEMALE,46300,77500,Multi-vehicle Collision,Minor Damage,Fire,21,3,?,1,2,YES,76120,13840,6920,55360,Camry
10140,124,32,IL,1000,1198.15,FEMALE,0,43200,Multi-vehicle Collision,Total Loss,Other,19,3,NO,0,2,YES,73560,12260,12260,49040,X5
10141,211,35,OH,2000,1221.22,MALE,76000,0,Single Vehicle Collision,Total Loss,Police,2,1,YES,0,1,?,52030,9460,4730,37840,E400
10142,287,41,IL,2000,968.74,MALE,0,49000,Vehicle Theft,Trivial Damage,None,9,1,?,2,3,?,5170,470,940,3760,Forrestor
10143,122,34,IN,1000,1220.71,MALE,58600,28700,Parked Car,Minor Damage,None,5,1,?,2,1,YES,8190,1890,1260,5040,Silverado
10144,22,29,IN,2000,1238.62,MALE,0,56200,Single Vehicle Collision,Major Damage,Ambulance,14,1,?,2,3,?,70800,7080,14160,49560,MDX
10145,106,31,IL,2000,1320.75,FEMALE,54100,0,Multi-vehicle Collision,Total Loss,Police,20,3,?,0,3,YES,45630,5070,5070,35490,MDX
10146,398,58,OH,500,990.98,FEMALE,0,57900,Single Vehicle Collision,Major Damage,Police,18,1,YES,2,1,?,99320,7640,15280,76400,TL
10147,214,41,IL,500,1398.51,MALE,0,57100,Multi-vehicle Collision,Major Damage,Fire,13,3,?,2,0,NO,64000,12800,6400,44800,X6
10148,209,38,OH,500,1355.08,FEMALE,58100,0,Single Vehicle Collision,Minor Damage,Fire,21,1,?,1,1,?,47300,4730,4730,37840,Pathfinder
10149,82,27,IL,1000,1384.51,MALE,13100,38200,Single Vehicle Collision,Major Damage,Other,14,1,NO,2,3,?,71680,8960,8960,53760,Jetta
10150,193,41,OH,500,847.03,FEMALE,0,0,Single Vehicle Collision,Major Damage,Other,1,1,?,1,0,YES,112320,17280,17280,77760,Impreza
10151,134,32,OH,1000,1000.06,FEMALE,0,0,Single Vehicle Collision,Total Loss,Other,17,1,?,1,0,?,82720,7520,15040,60160,A3
10152,288,45,IL,1000,1046.71,MALE,0,0,Multi-vehicle Collision,Major Damage,Fire,4,3,?,2,1,?,48060,10680,5340,32040,C300
10153,104,32,IN,500,1158.03,MALE,31900,44600,Multi-vehicle Collision,Total Loss,Police,23,3,YES,1,3,YES,63570,9780,9780,44010,Jetta
10154,431,54,OH,1000,1372.27,FEMALE,17600,0,Multi-vehicle Collision,Total Loss,Fire,13,3,NO,2,3,?,63240,10540,10540,42160,Forrestor
10155,101,33,OH,1000,1053.04,FEMALE,52000,44500,Multi-vehicle Collision,Minor Damage,Ambulance,20,3,NO,1,3,?,54240,9040,9040,36160,93
10156,375,50,OH,1000,1275.39,MALE,0,0,Single Vehicle Collision,Major Damage,Police,16,1,YES,2,3,NO,37280,0,0,37280,A5
10157,461,61,OH,2000,1402.75,MALE,0,0,Multi-vehicle Collision,Minor Damage,Police,10,3,?,2,1,YES,72100,7210,14420,50470,Wrangler
10158,428,59,IN,500,1344.36,FEMALE,0,0,Parked Car,Minor Damage,None,8,1,?,2,3,NO,6500,1300,650,4550,92x
10159,45,38,IN,1000,1197.71,MALE,29000,0,Multi-vehicle Collision,Total Loss,Ambulance,17,3,?,2,0,?,78240,13040,13040,52160,Legacy
10160,136,29,OH,500,1203.24,FEMALE,62500,66900,Vehicle Theft,Minor Damage,Police,9,1,?,2,0,?,6200,1240,620,4340,Accord
10161,216,36,IN,1000,1152.4,FEMALE,39600,82400,Parked Car,Minor Damage,Police,0,1,YES,2,3,?,6160,560,1680,3920,E400
10162,278,48,IN,2000,1142.62,FEMALE,0,54000,Single Vehicle Collision,Total Loss,Ambulance,12,1,?,2,0,?,76050,11700,11700,52650,Silverado
10163,295,48,OH,1000,1332.07,FEMALE,49700,59100,Multi-vehicle Collision,Total Loss,Ambulance,20,2,NO,2,1,YES,86060,13240,13240,59580,Passat
10164,112,30,OH,1000,1166.54,FEMALE,47700,59300,Single Vehicle Collision,Major Damage,Fire,3,1,YES,2,0,NO,107900,10790,21580,75530,Neon
10165,122,34,IL,500,1495.06,FEMALE,38100,31400,Multi-vehicle Collision,Total Loss,Fire,18,3,NO,2,0,YES,99990,18180,18180,63630,E400
10166,108,29,IN,1000,1337.92,FEMALE,71400,0,Multi-vehicle Collision,Minor Damage,Ambulance,4,3,NO,2,2,YES,61380,11160,5580,44640,Legacy
10167,14,28,OH,2000,1587.96,FEMALE,0,26900,Single Vehicle Collision,Major Damage,Fire,18,1,?,2,1,YES,71280,12960,12960,45360,A5
10168,298,45,IL,1000,1362.29,MALE,0,51100,Multi-vehicle Collision,Minor Damage,Ambulance,18,3,NO,0,0,NO,64000,12800,6400,44800,95
10169,276,46,IL,500,1448.84,FEMALE,0,50000,Parked Car,Trivial Damage,Police,7,1,?,0,1,NO,5940,660,660,4620,Highlander
10170,47,37,IN,2000,1241.97,MALE,75400,0,Parked Car,Minor Damage,None,18,1,NO,1,0,NO,6700,670,670,5360,Wrangler
10171,222,42,IL,500,1124.6,MALE,0,0,Multi-vehicle Collision,Minor Damage,Police,23,3,YES,0,0,?,51740,11940,7960,31840,Wrangler
10172,119,28,OH,2000,1079.92,MALE,88800,0,Single Vehicle Collision,Total Loss,Ambulance,1,1,?,0,1,YES,53600,6700,6700,40200,Jetta
10173,73,29,IL,1000,1447.78,MALE,35100,59900,Multi-vehicle Collision,Total Loss,Other,15,3,YES,1,0,?,44910,4990,4990,34930,Neon
10174,8,31,IN,500,1229.16,FEMALE,0,88300,Multi-vehicle Collision,Major Damage,Fire,2,3,?,0,2,YES,48100,11100,7400,29600,Jetta
10175,294,44,IL,1000,1226.49,FEMALE,53900,0,Vehicle Theft,Trivial Damage,None,3,1,NO,0,1,NO,6100,610,1220,4270,Fusion
10176,324,46,IN,2000,897.89,MALE,0,41300,Single Vehicle Collision,Minor Damage,Other,13,1,?,1,0,YES,79600,15920,15920,47760,Wrangler
